"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id";"floor";"building_name";"section_number";"section_floors_count"
"Республики 205";"https://tyumen.brusnika.ru/flat/67341/";"57,4";"9020000";"11270000";"67341";"7";"Дом 3-1";"1";"18"
"Дом у озера";"https://tyumen.brusnika.ru/flat/63924/";"42,3";"9040000";"10640000";"63924";"6";"Дом у озера 3";"3";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/43584/";"65,2";"9040000";"12050000";"43584";"22";"Дом 7-2";"1";"25"
"Зарека";"https://tyumen.brusnika.ru/flat/67141/";"44,4";"9050000";"10050000";"67141";"8";"Дом 2-1";"1";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/71340/";"50,5";"9050000";"11310000";"71340";"2";"Дом 5-2";"1";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46709/";"64,9";"9050000";"11310000";"46709";"17";"Дом 8";"6";"17"
"Республики 205";"https://tyumen.brusnika.ru/flat/43832/";"60,7";"9070000";"12090000";"43832";"9";"Дом 1";"7";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/43810/";"60,4";"9070000";"12090000";"43810";"9";"Дом 1";"2";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/44265/";"69,7";"9090000";"12120000";"44265";"6";"Дом 1";"1";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51783/";"64,7";"9110000";"11390000";"51783";"17";"Дом 9";"1";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52244/";"64,5";"9110000";"11390000";"52244";"17";"Дом 9";"1";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/66996/";"50,5";"9120000";"11400000";"66996";"3";"Дом 5-2";"1";"16"
"Дом у озера";"https://tyumen.brusnika.ru/flat/67940/";"43,3";"9120000";"10730000";"67940";"6";"Дом у озера 3";"3";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/56230/";"50,9";"9120000";"11400000";"56230";"4";"Дом 5-2";"1";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/60385/";"68,2";"9130000";"11410000";"60385";"2";"Дом 9";"5";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52250/";"63,3";"9190000";"11490000";"52250";"5";"Дом 9";"5";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67918/";"50,4";"9240000";"11550000";"67918";"7";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/71335/";"50,5";"9240000";"11550000";"71335";"6";"Дом 5-2";"1";"16"
"Республики 205";"https://tyumen.brusnika.ru/flat/66665/";"57,4";"9260000";"11570000";"66665";"10";"Дом 3-1";"1";"18"
"Республики 205";"https://tyumen.brusnika.ru/flat/66688/";"57,4";"9260000";"11570000";"66688";"11";"Дом 3-1";"1";"18"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46623/";"70,5";"9260000";"11580000";"46623";"3";"Дом 8";"3";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/70090/";"47,1";"9260000";"11570000";"70090";"15";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/56229/";"52,2";"9260000";"11570000";"56229";"2";"Дом 5-2";"1";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46648/";"70,5";"9260000";"11580000";"46648";"4";"Дом 8";"3";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67056/";"40,2";"9270000";"10300000";"67056";"2";"Дом 2-1";"3";"8"
"Речной порт";"https://tyumen.brusnika.ru/flat/67935/";"40,5";"9290000";"11610000";"67935";"8";"Дом 4";"8";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/52945/";"52,2";"9340000";"11670000";"52945";"3";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/70089/";"50,8";"9350000";"11690000";"70089";"11";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/71354/";"52,2";"9360000";"11700000";"71354";"4";"Дом 5-2";"1";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48589/";"67,7";"9370000";"11710000";"48589";"6";"Дом 10";"5";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48545/";"71,4";"9400000";"11750000";"48545";"2";"Дом 10";"5";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48557/";"67,7";"9410000";"11760000";"48557";"6";"Дом 10";"1";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48862/";"70,8";"9410000";"11760000";"48862";"4";"Дом 10";"1";"7"
"Речной порт";"https://tyumen.brusnika.ru/flat/67606/";"50,6";"9450000";"11810000";"67606";"7";"Дом 4";"3";"10"
"Зарека";"https://tyumen.brusnika.ru/flat/67205/";"58,4";"9450000";"10500000";"67205";"6";"Дом 2-1";"4";"8"
"Речной порт";"https://tyumen.brusnika.ru/flat/56684/";"43,1";"9460000";"11820000";"56684";"4";"Дом 4";"6";"9"
"Речной порт";"https://tyumen.brusnika.ru/flat/54118/";"43,1";"9460000";"11820000";"54118";"5";"Дом 4";"6";"9"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62444/";"45";"9470000";"11840000";"62444";"5";"Дом 1";"1";"16"
"Республики 205";"https://tyumen.brusnika.ru/flat/66664/";"65";"9490000";"11860000";"66664";"11";"Дом 3-1";"1";"18"
"Зарека";"https://tyumen.brusnika.ru/flat/66997/";"50,7";"9490000";"11860000";"66997";"13";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/66992/";"50,7";"9490000";"11860000";"66992";"14";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67109/";"57,9";"9490000";"10540000";"67109";"12";"Дом 2-1";"5";"16"
"Речной порт";"https://tyumen.brusnika.ru/flat/65822/";"50,8";"9510000";"11890000";"65822";"2";"Дом 4";"3";"10"
"Речной порт";"https://tyumen.brusnika.ru/flat/71337/";"43,3";"9510000";"11890000";"71337";"5";"Дом 4";"7";"10"
"Речной порт";"https://tyumen.brusnika.ru/flat/71357/";"50,7";"9510000";"11890000";"71357";"9";"Дом 4";"3";"10"
"Речной порт";"https://tyumen.brusnika.ru/flat/58415/";"57";"9520000";"14000000";"58415";"7";"Дом 4";"3";"10"
"Речной порт";"https://tyumen.brusnika.ru/flat/56482/";"43,1";"9520000";"11900000";"56482";"6";"Дом 4";"6";"9"
"Речной порт";"https://tyumen.brusnika.ru/flat/67888/";"39,9";"9520000";"11900000";"67888";"8";"Дом 4";"6";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/67271/";"57,9";"9520000";"10580000";"67271";"15";"Дом 2-1";"5";"16"
"Речной порт";"https://tyumen.brusnika.ru/flat/71346/";"41,9";"9520000";"11900000";"71346";"7";"Дом 4";"6";"9"
"Речной порт";"https://tyumen.brusnika.ru/flat/71347/";"43,1";"9520000";"11900000";"71347";"7";"Дом 4";"6";"9"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56278/";"45";"9540000";"11920000";"56278";"7";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58328/";"45";"9540000";"11920000";"58328";"8";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62460/";"41,6";"9540000";"11220000";"62460";"3";"Дом 2";"3";"7"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47718/";"51,4";"9540000";"11930000";"47718";"7";"Дом у озера 2";"7";""
"Речной порт";"https://tyumen.brusnika.ru/flat/56741/";"43,3";"9570000";"11960000";"56741";"7";"Дом 4";"7";"10"
"Речной порт";"https://tyumen.brusnika.ru/flat/67936/";"43,3";"9570000";"11960000";"67936";"6";"Дом 4";"8";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/54828/";"69,5";"9570000";"11960000";"54828";"3";"Дом 2";"3";"16"
"Речной порт";"https://tyumen.brusnika.ru/flat/71358/";"43,4";"9570000";"11960000";"71358";"7";"Дом 4";"8";"9"
"Речной порт";"https://tyumen.brusnika.ru/flat/67921/";"41,9";"9600000";"12000000";"67921";"6";"Дом 4";"6";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/48927/";"60,8";"9600000";"12800000";"48927";"15";"Дом 1";"6";"15"
"Речной порт";"https://tyumen.brusnika.ru/flat/66326/";"40,2";"9620000";"12020000";"66326";"8";"Дом 4";"6";"9"
"Дом у озера";"https://tyumen.brusnika.ru/flat/44284/";"52,8";"9620000";"12020000";"44284";"6";"Дом у озера 2";"3";""
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/49643/";"44,3";"9640000";"12050000";"49643";"3";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62908/";"41,7";"9640000";"11340000";"62908";"5";"Дом 2";"3";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62456/";"41,7";"9650000";"11350000";"62456";"6";"Дом 2";"3";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/71353/";"59,8";"9650000";"12060000";"71353";"2";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67299/";"59";"9660000";"10730000";"67299";"5";"Дом 2-1";"1";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/59881/";"70,5";"9670000";"12090000";"59881";"4";"Дом 9";"5";"7"
"Республики 205";"https://tyumen.brusnika.ru/flat/56053/";"64,5";"9670000";"12090000";"56053";"3";"Дом 2";"2";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/56679/";"64,5";"9670000";"12090000";"56679";"5";"Дом 2";"2";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56140/";"45";"9680000";"12100000";"56140";"9";"Дом 1";"1";"16"
"Республики 205";"https://tyumen.brusnika.ru/flat/56080/";"78,9";"";"9700000";"56080";"16";"Дом 3-1";"1";"18"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58326/";"44,3";"9740000";"12170000";"58326";"4";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56273/";"44,3";"9740000";"12170000";"56273";"6";"Дом 1";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67100/";"42,4";"9740000";"10820000";"67100";"8";"Дом 2-1";"1";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56645/";"44,3";"9760000";"12200000";"56645";"8";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58323/";"44,3";"9760000";"12200000";"58323";"7";"Дом 1";"1";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/54219/";"82,5";"9760000";"12200000";"54219";"3";"Дом 9";"2";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/56055/";"68";"9770000";"12210000";"56055";"6";"Дом 2";"1";"9"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62448/";"45";"9780000";"12220000";"62448";"10";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58321/";"45";"9780000";"12220000";"58321";"11";"Дом 1";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67169/";"59";"9780000";"10870000";"67169";"8";"Дом 2-1";"1";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/52862/";"54,3";"9800000";"12250000";"52862";"4";"Дом 1";"1";"16"
"Речной порт";"https://tyumen.brusnika.ru/flat/66330/";"50,9";"9810000";"12260000";"66330";"9";"Дом 4";"3";"10"
"Республики 205";"https://tyumen.brusnika.ru/flat/54227/";"72,4";"9820000";"12270000";"54227";"2";"Дом 2";"5";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56324/";"82,7";"9860000";"12320000";"56324";"2";"Дом 9";"3";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56934/";"83,4";"9860000";"12320000";"56934";"4";"Дом 9";"2";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56939/";"83,4";"9860000";"12320000";"56939";"5";"Дом 9";"2";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/54798/";"69,7";"9860000";"12330000";"54798";"2";"Дом 3-1";"4";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51779/";"83,4";"9860000";"12320000";"51779";"6";"Дом 9";"2";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/56657/";"72,1";"9870000";"12340000";"56657";"4";"Дом 2";"7";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62472/";"42,9";"9880000";"11620000";"62472";"2";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54651/";"42";"9890000";"11630000";"54651";"3";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54703/";"42";"9900000";"11650000";"54703";"4";"Дом 2";"3";"7"
