"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id";"floor";"building_name";"section_number";"section_floors_count"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52867/";"21";"";"4820000";"52867";"3";"Дом 9";"7";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46703/";"21,3";"4880000";"5780000";"46703";"10";"Дом 8";"6";"17"
"Республики 205";"https://tyumen.brusnika.ru/flat/71874/";"21,3";"";"4990000";"71874";"4";"Дом 3-1";"4";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46565/";"18,2";"";"5100000";"46565";"7";"Дом 8";"2";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/71890/";"24,1";"";"5160000";"71890";"7";"Дом 3-1";"3";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/71892/";"24,3";"";"5180000";"71892";"7";"Дом 3-1";"6";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/50763/";"21";"";"5240000";"50763";"5";"Дом 10";"1";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/70084/";"22,8";"5270000";"6410000";"70084";"15";"Дом 5-2";"1";"16"
"Республики 205";"https://tyumen.brusnika.ru/flat/48966/";"20,1";"";"5370000";"48966";"6";"Дом 1";"5";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46956/";"21,1";"";"5540000";"46956";"6";"Дом 8";"2";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52225/";"23,8";"";"5610000";"52225";"13";"Дом 9";"1";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56914/";"21,1";"";"5610000";"56914";"16";"Дом 9";"1";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40232/";"24";"";"5660000";"40232";"16";"Дом 7-1";"2";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/67047/";"30";"";"5810000";"67047";"2";"Дом 2-1";"1";"8"
"Дом у озера";"https://tyumen.brusnika.ru/flat/60104/";"20,1";"";"5860000";"60104";"2";"Дом у озера 3";"5";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/58297/";"31,9";"5870000";"6870000";"58297";"13";"Дом 5-1";"1";"25"
"Дом у озера";"https://tyumen.brusnika.ru/flat/58847/";"19,9";"";"5890000";"58847";"2";"Дом у озера 3";"4";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/67319/";"30";"";"5890000";"67319";"3";"Дом 2-1";"3";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/67157/";"30";"";"5900000";"67157";"5";"Дом 2-1";"1";"8"
"Дом у озера";"https://tyumen.brusnika.ru/flat/60160/";"20,1";"";"5920000";"60160";"4";"Дом у озера 3";"5";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52901/";"37,8";"5970000";"6570000";"52901";"2";"Дом 9";"5";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67142/";"35,1";"";"5990000";"67142";"5";"Дом 2-1";"5";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46706/";"23,7";"";"6010000";"46706";"7";"Дом 8";"6";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/67113/";"35,1";"";"6030000";"67113";"9";"Дом 2-1";"5";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67079/";"35,1";"";"6030000";"67079";"8";"Дом 2-1";"5";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/70059/";"26,6";"";"6040000";"70059";"6";"Дом 10";"2";"8"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47939/";"34,1";"6040000";"7030000";"47939";"5";"Дом у озера 2";"8";""
"Зарека";"https://tyumen.brusnika.ru/flat/49642/";"21,4";"";"6080000";"49642";"6";"Дом 1";"6";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/52919/";"26,6";"";"6110000";"52919";"13";"Дом 5-2";"1";"16"
"Речной порт";"https://tyumen.brusnika.ru/flat/72137/";"25,5";"";"6150000";"72137";"3";"Дом 6-2";"2";"12"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46978/";"23,9";"";"6160000";"46978";"13";"Дом 8";"6";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/51624/";"23,8";"";"6200000";"51624";"3";"Дом 5-2";"3";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/56215/";"23,8";"";"6200000";"56215";"2";"Дом 5-2";"6";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/71355/";"23,8";"";"6250000";"71355";"3";"Дом 5-2";"6";"7"
