"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id";"floor";"building_name";"section_number";"section_floors_count"
"Зарека";"https://tyumen.brusnika.ru/flat/53124/";"23,8";"";"6270000";"53124";"6";"Дом 5-2";"3";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/52924/";"26,5";"";"6290000";"52924";"8";"Дом 5-2";"1";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/70058/";"40,2";"6360000";"7530000";"70058";"5";"Дом 10";"3";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/58300/";"26,6";"";"6380000";"58300";"14";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67916/";"32,7";"";"6380000";"67916";"6";"Дом 5-1";"1";"25"
"Зарека";"https://tyumen.brusnika.ru/flat/64949/";"23,1";"";"6410000";"64949";"16";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/66881/";"26,6";"";"6410000";"66881";"12";"Дом 5-2";"1";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67911/";"32,7";"";"6430000";"67911";"10";"Дом 5-1";"1";"25"
"Речной порт";"https://tyumen.brusnika.ru/flat/47003/";"21,4";"";"6450000";"47003";"7";"Дом 8";"5";""
"Зарека";"https://tyumen.brusnika.ru/flat/67162/";"30,2";"";"6450000";"67162";"8";"Дом 2-1";"2";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52510/";"45,9";"6470000";"7710000";"52510";"10";"Дом 9";"1";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/67052/";"39";"";"6510000";"67052";"4";"Дом 2-1";"5";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/70098/";"33,8";"6520000";"7420000";"70098";"10";"Дом 5-1";"1";"25"
"Зарека";"https://tyumen.brusnika.ru/flat/67285/";"39";"";"6540000";"67285";"6";"Дом 2-1";"5";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/57190/";"33,7";"6550000";"7450000";"57190";"14";"Дом 5-1";"1";"25"
"Зарека";"https://tyumen.brusnika.ru/flat/58287/";"33,4";"";"6570000";"58287";"6";"Дом 5-1";"1";"25"
"Зарека";"https://tyumen.brusnika.ru/flat/67172/";"31,8";"";"6570000";"67172";"3";"Дом 2-1";"4";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/70096/";"32,7";"";"6580000";"70096";"8";"Дом 5-1";"1";"25"
"Зарека";"https://tyumen.brusnika.ru/flat/70097/";"32,7";"";"6580000";"70097";"7";"Дом 5-1";"1";"25"
"Речной порт";"https://tyumen.brusnika.ru/flat/71360/";"25,5";"";"6580000";"71360";"2";"Дом 4";"3";"10"
"Зарека";"https://tyumen.brusnika.ru/flat/63964/";"33,8";"6590000";"7490000";"63964";"20";"Дом 5-1";"1";"25"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51737/";"37,8";"";"6600000";"51737";"3";"Дом 9";"5";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67295/";"39";"";"6610000";"67295";"7";"Дом 2-1";"5";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/67322/";"39";"";"6610000";"67322";"9";"Дом 2-1";"5";"16"
"Речной порт";"https://tyumen.brusnika.ru/flat/54105/";"25,5";"";"6650000";"54105";"2";"Дом 4";"3";"10"
"Зарека";"https://tyumen.brusnika.ru/flat/67132/";"31,9";"";"6650000";"67132";"6";"Дом 2-1";"4";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/67278/";"32,7";"";"6650000";"67278";"5";"Дом 2-1";"4";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/49593/";"27,6";"";"6650000";"49593";"9";"Дом 2";"1";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/65616/";"31,5";"";"6660000";"65616";"13";"Дом 5-1";"1";"25"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67898/";"36,9";"";"6680000";"67898";"2";"Дом 9";"6";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46772/";"46";"6700000";"7740000";"46772";"9";"Дом 8";"6";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52222/";"37,8";"";"6700000";"52222";"4";"Дом 9";"6";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67210/";"32,5";"";"6700000";"67210";"5";"Дом 2-1";"2";"8"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/67339/";"22,6";"";"6710000";"67339";"5";"Дом 2";"5";"11"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48880/";"26,6";"";"6740000";"48880";"8";"Дом 10";"2";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/72709/";"35";"";"6760000";"72709";"5";"Дом 9";"4";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/65617/";"33,5";"6760000";"7660000";"65617";"19";"Дом 5-1";"1";"25"
"Республики 205";"https://tyumen.brusnika.ru/flat/56402/";"36,2";"";"6780000";"56402";"18";"Дом 3-1";"1";"18"
"Речной порт";"https://tyumen.brusnika.ru/flat/54123/";"25,5";"";"6800000";"54123";"7";"Дом 4";"3";"10"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46979/";"46";"6810000";"7860000";"46979";"14";"Дом 8";"6";"17"
"Республики 205";"https://tyumen.brusnika.ru/flat/71864/";"36";"";"6810000";"71864";"3";"Дом 3-1";"2";"8"
"Дом у озера";"https://tyumen.brusnika.ru/flat/66345/";"23,9";"";"6820000";"66345";"4";"Урбан-вилла 1";"1";"8"
"Речной порт";"https://tyumen.brusnika.ru/flat/67927/";"25,5";"";"6840000";"67927";"4";"Дом 4";"3";"10"
"Республики 205";"https://tyumen.brusnika.ru/flat/56388/";"36,2";"";"6850000";"56388";"18";"Дом 3-1";"1";"18"
"Республики 205";"https://tyumen.brusnika.ru/flat/56071/";"36,2";"";"6850000";"56071";"16";"Дом 3-1";"1";"18"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/59880/";"45,9";"6850000";"7850000";"59880";"16";"Дом 9";"1";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/59873/";"40,1";"";"6880000";"59873";"6";"Дом 9";"4";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/57166/";"31,9";"";"6890000";"57166";"3";"Дом 5-1";"1";"25"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66885/";"25,2";"";"6890000";"66885";"8";"Дом 1";"1";"16"
"Речной порт";"https://tyumen.brusnika.ru/flat/67923/";"25,6";"";"6900000";"67923";"6";"Дом 4";"3";"10"
"Республики 205";"https://tyumen.brusnika.ru/flat/56969/";"36,2";"";"6900000";"56969";"15";"Дом 3-1";"1";"18"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48889/";"31,8";"";"6910000";"48889";"9";"Дом 8";"2";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52218/";"49,3";"6910000";"8390000";"52218";"11";"Дом 9";"1";"17"
"Речной порт";"https://tyumen.brusnika.ru/flat/66349/";"25,6";"";"6930000";"66349";"5";"Дом 4";"5";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/59884/";"32,1";"";"6940000";"59884";"9";"Дом 9";"4";"9"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62436/";"25,2";"";"6980000";"62436";"10";"Дом 1";"1";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46947/";"31,9";"";"7000000";"46947";"6";"Дом 8";"1";"9"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62437/";"25,2";"";"7020000";"62437";"13";"Дом 1";"1";"16"
"Республики 205";"https://tyumen.brusnika.ru/flat/54810/";"36,2";"";"7020000";"54810";"12";"Дом 3-1";"1";"18"
"Республики 205";"https://tyumen.brusnika.ru/flat/56384/";"36,2";"";"7020000";"56384";"13";"Дом 3-1";"1";"18"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47996/";"34,1";"";"7030000";"47996";"6";"Дом у озера 2";"8";""
"Дом у озера";"https://tyumen.brusnika.ru/flat/44422/";"34,1";"";"7030000";"44422";"3";"Дом у озера 2";"8";""
"Республики 205";"https://tyumen.brusnika.ru/flat/71872/";"39";"";"7080000";"71872";"7";"Дом 3-1";"8";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/67192/";"32,4";"";"7130000";"67192";"8";"Дом 2-1";"3";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/56421/";"36,2";"";"7130000";"56421";"17";"Дом 3-1";"1";"18"
"Зарека";"https://tyumen.brusnika.ru/flat/67251/";"36,3";"";"7160000";"67251";"10";"Дом 2-1";"5";"16"
"Зарека";"https://tyumen.brusnika.ru/flat/69615/";"27,2";"";"7160000";"69615";"9";"Дом 5-2";"3";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/67912/";"33,8";"";"7240000";"67912";"15";"Дом 5-1";"1";"25"
"Зарека";"https://tyumen.brusnika.ru/flat/67114/";"32,2";"";"7290000";"67114";"7";"Дом 2-1";"4";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/66320/";"33,8";"";"7320000";"66320";"7";"Дом 5-1";"1";"25"
"Республики 205";"https://tyumen.brusnika.ru/flat/56373/";"44,8";"7320000";"8620000";"56373";"7";"Дом 2";"7";"7"
"Республики 205";"https://tyumen.brusnika.ru/flat/56369/";"44,1";"7350000";"8650000";"56369";"9";"Дом 2";"1";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/59836/";"33,8";"";"7370000";"59836";"9";"Дом 5-1";"1";"25"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40230/";"50,6";"7390000";"8090000";"40230";"13";"Дом 7-1";"2";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/52935/";"43,8";"";"7390000";"52935";"2";"Дом 5-2";"3";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/50766/";"45,6";"";"7390000";"50766";"5";"Дом 10";"2";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/70443/";"41,2";"7410000";"8950000";"70443";"9";"Дом 5-2";"3";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/57122/";"33,9";"";"7420000";"57122";"10";"Дом 5-1";"1";"25"
"Зарека";"https://tyumen.brusnika.ru/flat/65608/";"33,8";"";"7420000";"65608";"17";"Дом 5-1";"1";"25"
"Зарека";"https://tyumen.brusnika.ru/flat/70100/";"33,5";"";"7450000";"70100";"14";"Дом 5-1";"1";"25"
"Речной порт";"https://tyumen.brusnika.ru/flat/72177/";"34,3";"";"7470000";"72177";"6";"Дом 6-2";"2";"12"
"Зарека";"https://tyumen.brusnika.ru/flat/67282/";"36,8";"";"7480000";"67282";"2";"Дом 2-1";"1";"8"
"Речной порт";"https://tyumen.brusnika.ru/flat/72232/";"34";"";"7480000";"72232";"5";"Дом 6-2";"2";"12"
"Зарека";"https://tyumen.brusnika.ru/flat/67335/";"36,8";"";"7480000";"67335";"2";"Дом 2-1";"3";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/39983/";"45";"7530000";"8840000";"39983";"17";"Дом 7-1";"3";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/50764/";"39,9";"";"7530000";"50764";"4";"Дом 10";"1";"7"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49062/";"40";"";"7530000";"49062";"4";"Дом 10";"6";"7"
"Речной порт";"https://tyumen.brusnika.ru/flat/72231/";"34,3";"";"7530000";"72231";"9";"Дом 6-2";"2";"12"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48607/";"42,5";"";"7540000";"48607";"3";"Дом 10";"6";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67279/";"36,8";"";"7540000";"67279";"3";"Дом 2-1";"3";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/69616/";"35,2";"";"7540000";"69616";"9";"Дом 5-2";"3";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/67072/";"36,8";"";"7540000";"67072";"3";"Дом 2-1";"7";"7"
"Зарека";"https://tyumen.brusnika.ru/flat/67153/";"36,8";"";"7540000";"67153";"3";"Дом 2-1";"1";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/70093/";"35,2";"";"7540000";"70093";"8";"Дом 5-2";"3";"9"
"Речной порт";"https://tyumen.brusnika.ru/flat/72162/";"33,5";"";"7560000";"72162";"7";"Дом 6-2";"2";"12"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/70060/";"40,2";"";"7570000";"70060";"4";"Дом 10";"3";"8"
"Зарека";"https://tyumen.brusnika.ru/flat/67204/";"36,8";"";"7580000";"67204";"5";"Дом 2-1";"1";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/58366/";"40,2";"";"7590000";"58366";"5";"Дом 10";"3";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/58408/";"45,8";"7600000";"8380000";"58408";"7";"Дом 3-1";"7";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48876/";"40,2";"";"7610000";"48876";"4";"Дом 10";"1";"7"
"Речной порт";"https://tyumen.brusnika.ru/flat/72189/";"33,5";"";"7610000";"72189";"9";"Дом 6-2";"2";"12"
"Республики 205";"https://tyumen.brusnika.ru/flat/71867/";"45,8";"7650000";"8330000";"71867";"9";"Дом 3-1";"1";"18"
"Зарека";"https://tyumen.brusnika.ru/flat/73282/";"35,1";"";"7650000";"73282";"7";"Дом 5-2";"4";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67900/";"45,6";"";"7680000";"67900";"7";"Дом 10";"2";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48916/";"45,6";"";"7680000";"48916";"6";"Дом 10";"2";"8"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67894/";"45,9";"";"7710000";"67894";"10";"Дом 9";"1";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/63957/";"33,5";"";"7720000";"63957";"20";"Дом 5-1";"1";"25"
"Республики 205";"https://tyumen.brusnika.ru/flat/57942/";"35,4";"";"7740000";"57942";"9";"Дом 2";"1";"9"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46765/";"45,7";"";"7740000";"46765";"11";"Дом 8";"6";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46750/";"45,9";"";"7740000";"46750";"10";"Дом 8";"6";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46968/";"45,7";"";"7780000";"46968";"12";"Дом 8";"6";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/70087/";"37,9";"";"7790000";"70087";"7";"Дом 5-2";"2";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/66996/";"50,5";"7790000";"9120000";"66996";"3";"Дом 5-2";"1";"16"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67893/";"45,9";"";"7810000";"67893";"15";"Дом 9";"1";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/58351/";"46,6";"";"7810000";"58351";"17";"Дом 9";"1";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48910/";"45,7";"";"7820000";"48910";"13";"Дом 8";"6";"17"
"Речной порт";"https://tyumen.brusnika.ru/flat/72210/";"37,1";"";"7830000";"72210";"10";"Дом 6-2";"3";"18"
"Речной порт";"https://tyumen.brusnika.ru/flat/72299/";"37,1";"";"7830000";"72299";"11";"Дом 6-2";"3";"18"
"Республики 205";"https://tyumen.brusnika.ru/flat/57934/";"35,6";"";"7840000";"57934";"9";"Дом 2";"1";"9"
"Республики 205";"https://tyumen.brusnika.ru/flat/56968/";"55,8";"7840000";"9180000";"56968";"18";"Дом 3-1";"1";"18"
"Зарека";"https://tyumen.brusnika.ru/flat/69760/";"50,9";"7840000";"8750000";"69760";"8";"Дом 5-2";"1";"16"
"Речной порт";"https://tyumen.brusnika.ru/flat/72193/";"37,7";"";"7850000";"72193";"11";"Дом 6-2";"3";"18"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/67896/";"45,9";"";"7850000";"67896";"16";"Дом 9";"1";"17"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46975/";"45,8";"";"7860000";"46975";"14";"Дом 8";"6";"17"
"Зарека";"https://tyumen.brusnika.ru/flat/66991/";"35,1";"";"7870000";"66991";"8";"Дом 5-2";"4";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/71885/";"45,9";"";"7870000";"71885";"2";"Дом 3-1";"8";"8"
"Республики 205";"https://tyumen.brusnika.ru/flat/71855/";"45,9";"";"7870000";"71855";"2";"Дом 3-1";"3";"9"
"Зарека";"https://tyumen.brusnika.ru/flat/67163/";"41,4";"";"7890000";"67163";"2";"Дом 2-1";"6";"7"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47972/";"42,2";"7930000";"8950000";"47972";"6";"Дом у озера 2";"2";""
"Республики 205";"https://tyumen.brusnika.ru/flat/71876/";"45,9";"";"7940000";"71876";"3";"Дом 3-1";"7";"9"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47933/";"43,2";"7950000";"8970000";"47933";"7";"Дом у озера 2";"2";""
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/49643/";"44,3";"8000000";"9640000";"49643";"3";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/51592/";"44,3";"8000000";"10280000";"51592";"12";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54651/";"42";"8000000";"9890000";"54651";"3";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54662/";"48,8";"8000000";"9980000";"54662";"4";"Дом 2";"9";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54689/";"46,8";"8000000";"9970000";"54689";"4";"Дом 2";"8";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54703/";"42";"8000000";"9900000";"54703";"4";"Дом 2";"3";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54726/";"44";"8000000";"10230000";"54726";"3";"Дом 2";"5";"11"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54729/";"44,2";"8000000";"10330000";"54729";"4";"Дом 2";"5";"11"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54731/";"44,1";"8000000";"10340000";"54731";"5";"Дом 2";"5";"11"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54732/";"44,2";"8000000";"10330000";"54732";"5";"Дом 2";"5";"11"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58324/";"44,3";"8000000";"10070000";"58324";"11";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58328/";"45";"8000000";"9540000";"58328";"8";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58332/";"41,8";"8000000";"10060000";"58332";"5";"Дом 2";"3";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62028/";"43,9";"8000000";"10430000";"62028";"6";"Дом 2";"5";"11"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62440/";"44,3";"8000000";"10280000";"62440";"13";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62448/";"45";"8000000";"9780000";"62448";"10";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62454/";"46,8";"8000000";"10340000";"62454";"6";"Дом 2";"8";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62455/";"41,8";"8000000";"10160000";"62455";"6";"Дом 2";"3";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62457/";"44,3";"8000000";"10440000";"62457";"7";"Дом 2";"5";"11"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62461/";"42";"8000000";"10060000";"62461";"6";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62467/";"46,8";"8000000";"10240000";"62467";"5";"Дом 2";"8";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62472/";"42,9";"8000000";"9880000";"62472";"2";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62908/";"41,7";"8000000";"9640000";"62908";"5";"Дом 2";"3";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56270/";"44,3";"8000000";"9980000";"56270";"10";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56273/";"44,3";"8000000";"9740000";"56273";"6";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58341/";"42,9";"8000000";"10080000";"58341";"2";"Дом 2";"3";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66323/";"39,6";"8000000";"10180000";"66323";"5";"Дом 1";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56296/";"47,2";"8000000";"10410000";"56296";"6";"Дом 2";"9";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66890/";"42,4";"8000000";"10060000";"66890";"5";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54819/";"41,8";"8000000";"10060000";"54819";"4";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/51594/";"44,3";"8000000";"10280000";"51594";"15";"Дом 1";"1";"16"
"Республики 205";"https://tyumen.brusnika.ru/flat/71858/";"45,8";"";"8000000";"71858";"5";"Дом 3-1";"7";"9"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/49608/";"46,2";"8000000";"10110000";"49608";"6";"Дом 1";"4";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58323/";"44,3";"8000000";"9760000";"58323";"7";"Дом 1";"1";"16"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62456/";"41,7";"8000000";"9650000";"62456";"6";"Дом 2";"3";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/73285/";"44,2";"8000000";"10430000";"73285";"7";"Дом 2";"5";"11"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/73287/";"44,1";"8000000";"10440000";"73287";"6";"Дом 2";"5";"11"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/73289/";"36,3";"8000000";"8990000";"73289";"4";"Дом 2";"10";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/73290/";"42";"8000000";"9900000";"73290";"4";"Дом 2";"2";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/73292/";"37,4";"8000000";"9180000";"73292";"6";"Дом 2";"1";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/73296/";"42,9";"8000000";"9880000";"73296";"2";"Дом 2";"7";"7"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/73300/";"42,9";"8000000";"9880000";"73300";"2";"Дом 2";"7";"7"
