"project";"link";"area";"price_with_discount";"price_without_discount";"flat_id"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62456/";"41,7";"9340000";"10990000";"62456"
"Зарека";"https://tyumen.brusnika.ru/flat/67092/";"65,4";"9340000";"10260000";"67092"
"Зарека";"https://tyumen.brusnika.ru/flat/67217/";"66,4";"9340000";"10260000";"67217"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/59881/";"70,5";"9360000";"12200000";"59881"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56140/";"45";"9370000";"12100000";"56140"
"Зарека";"https://tyumen.brusnika.ru/flat/67243/";"64,6";"9370000";"10300000";"67243"
"Зарека";"https://tyumen.brusnika.ru/flat/67293/";"64,6";"9370000";"10300000";"67293"
"Республики 205";"https://tyumen.brusnika.ru/flat/66665/";"57,4";"9380000";"11730000";"66665"
"Республики 205";"https://tyumen.brusnika.ru/flat/66688/";"57,4";"9380000";"11730000";"66688"
"Зарека";"https://tyumen.brusnika.ru/flat/67134/";"65,3";"9380000";"10310000";"67134"
"Республики 205";"https://tyumen.brusnika.ru/flat/56661/";"70,3";"9390000";"11740000";"56661"
"Зарека";"https://tyumen.brusnika.ru/flat/67088/";"66,4";"9430000";"10360000";"67088"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58326/";"44,3";"9440000";"12170000";"58326"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62446/";"44,3";"9440000";"12170000";"62446"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56273/";"44,3";"9440000";"12170000";"56273"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56645/";"44,3";"9460000";"12200000";"56645"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58323/";"44,3";"9460000";"12200000";"58323"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62448/";"45";"9470000";"12220000";"62448"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58321/";"45";"9470000";"12220000";"58321"
"Зарека";"https://tyumen.brusnika.ru/flat/67272/";"66,4";"9470000";"10410000";"67272"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56934/";"83,4";"9500000";"12030000";"56934"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56939/";"83,4";"9500000";"12030000";"56939"
"Речной порт";"https://tyumen.brusnika.ru/flat/66330/";"50,9";"9500000";"11880000";"66330"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/52862/";"54,3";"9500000";"11870000";"52862"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51779/";"83,4";"9500000";"12050000";"51779"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47718/";"51,4";"9500000";"11870000";"47718"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56324/";"82,7";"9550000";"11940000";"56324"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62472/";"42,9";"9570000";"11260000";"62472"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54651/";"42";"9580000";"11270000";"54651"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54703/";"42";"9600000";"11290000";"54703"
"Республики 205";"https://tyumen.brusnika.ru/flat/66664/";"65";"9620000";"12030000";"66664"
"Республики 205";"https://tyumen.brusnika.ru/flat/48253/";"68,6";"9620000";"12030000";"48253"
"Республики 205";"https://tyumen.brusnika.ru/flat/54828/";"69,5";"9620000";"12020000";"54828"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56298/";"48,8";"9650000";"11350000";"56298"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/52825/";"45";"9650000";"12440000";"52825"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56796/";"45";"9650000";"12440000";"56796"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54689/";"46,8";"9660000";"11370000";"54689"
"Дом у озера";"https://tyumen.brusnika.ru/flat/44284/";"52,8";"9660000";"12080000";"44284"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54662/";"48,8";"9670000";"11380000";"54662"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56270/";"44,3";"9680000";"12480000";"56270"
"Зарека";"https://tyumen.brusnika.ru/flat/67108/";"69,3";"9680000";"10640000";"67108"
"Зарека";"https://tyumen.brusnika.ru/flat/67333/";"64,3";"9680000";"10640000";"67333"
"Зарека";"https://tyumen.brusnika.ru/flat/67085/";"69,3";"9680000";"10640000";"67085"
"Зарека";"https://tyumen.brusnika.ru/flat/66344/";"71,3";"9700000";"11410000";"66344"
"Зарека";"https://tyumen.brusnika.ru/flat/70099/";"67,1";"9700000";"12130000";"70099"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56314/";"84,1";"9700000";"12130000";"56314"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48869/";"79,7";"9700000";"12120000";"48869"
"Зарека";"https://tyumen.brusnika.ru/flat/67262/";"69,5";"9720000";"10680000";"67262"
"Республики 205";"https://tyumen.brusnika.ru/flat/56053/";"64,5";"9730000";"12160000";"56053"
"Республики 205";"https://tyumen.brusnika.ru/flat/56679/";"64,5";"9730000";"12160000";"56679"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56299/";"47,2";"9740000";"11460000";"56299"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56852/";"54,3";"9740000";"12180000";"56852"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56853/";"48,8";"9740000";"11460000";"56853"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58332/";"41,8";"9760000";"11480000";"58332"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62461/";"42";"9760000";"11480000";"62461"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54681/";"42,4";"9760000";"11480000";"54681"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66890/";"42,4";"9760000";"11480000";"66890"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54819/";"41,8";"9760000";"11480000";"54819"
"Зарека";"https://tyumen.brusnika.ru/flat/67126/";"69,5";"9760000";"10730000";"67126"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58324/";"44,3";"9770000";"12590000";"58324"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58341/";"42,9";"9780000";"11500000";"58341"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52272/";"82,9";"9780000";"12220000";"52272"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/49608/";"46,2";"9810000";"12260000";"49608"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58325/";"45,8";"9810000";"12260000";"58325"
"Республики 205";"https://tyumen.brusnika.ru/flat/70034/";"76,1";"9810000";"12260000";"70034"
"Зарека";"https://tyumen.brusnika.ru/flat/67055/";"73,8";"9810000";"10780000";"67055"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56141/";"81,8";"9820000";"12270000";"56141"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56316/";"81,8";"9820000";"12270000";"56316"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51777/";"81,8";"9820000";"12270000";"51777"
"Республики 205";"https://tyumen.brusnika.ru/flat/56055/";"68";"9820000";"12280000";"56055"
"Зарека";"https://tyumen.brusnika.ru/flat/67121/";"73,8";"9820000";"10790000";"67121"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54180/";"54,3";"9840000";"12300000";"54180"
"Зарека";"https://tyumen.brusnika.ru/flat/67069/";"67,9";"9840000";"10810000";"67069"
"Зарека";"https://tyumen.brusnika.ru/flat/67327/";"58,5";"9840000";"10810000";"67327"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62455/";"41,8";"9850000";"11590000";"62455"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/66323/";"39,6";"9870000";"12340000";"66323"
"Республики 205";"https://tyumen.brusnika.ru/flat/54227/";"72,4";"9870000";"12340000";"54227"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56325/";"82,4";"9880000";"12350000";"56325"
"Дом у озера";"https://tyumen.brusnika.ru/flat/66307/";"54,1";"9880000";"11620000";"66307"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56297/";"47";"9880000";"11620000";"56297"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56931/";"79,4";"9880000";"12350000";"56931"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62036/";"47";"9880000";"11620000";"62036"
"Зарека";"https://tyumen.brusnika.ru/flat/67212/";"67,9";"9890000";"10870000";"67212"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54699/";"47";"9900000";"11650000";"54699"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51752/";"82,9";"9910000";"12390000";"51752"
"Зарека";"https://tyumen.brusnika.ru/flat/67329/";"67,4";"9910000";"10890000";"67329"
"Зарека";"https://tyumen.brusnika.ru/flat/67314/";"73,8";"9910000";"10890000";"67314"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54726/";"44,1";"9920000";"11670000";"54726"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52239/";"87,9";"9930000";"12730000";"52239"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52247/";"87,4";"9930000";"12730000";"52247"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56123/";"87,9";"9930000";"12730000";"56123"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56300/";"47";"9930000";"11680000";"56300"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56315/";"87,9";"9930000";"12730000";"56315"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56317/";"87,9";"9930000";"12730000";"56317"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52245/";"87,9";"9930000";"12730000";"52245"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56310/";"87,8";"9940000";"12860000";"56310"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62467/";"46,8";"9940000";"11690000";"62467"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56923/";"87,9";"9940000";"12860000";"56923"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/58247/";"47,3";"9940000";"11690000";"58247"
"Республики 205";"https://tyumen.brusnika.ru/flat/56670/";"68,4";"9940000";"12430000";"56670"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40030/";"70,1";"9950000";"13270000";"40030"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56930/";"83,2";"9960000";"12450000";"56930"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56942/";"83,2";"9960000";"12450000";"56942"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40188/";"73,3";"9970000";"13290000";"40188"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/51592/";"44,3";"9980000";"12850000";"51592"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62440/";"44,3";"9980000";"12850000";"62440"
"Дом у озера";"https://tyumen.brusnika.ru/flat/63918/";"54,1";"9980000";"11740000";"63918"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/50046/";"42,3";"9980000";"12470000";"50046"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/51594/";"44,3";"9980000";"12850000";"51594"
"Республики 205";"https://tyumen.brusnika.ru/flat/48281/";"73,5";"9980000";"12480000";"48281"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56776/";"46,3";"9990000";"11750000";"56776"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62031/";"44";"9990000";"11750000";"62031"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54684/";"47,2";"10010000";"11780000";"54684"
"Речной порт";"https://tyumen.brusnika.ru/flat/46993/";"40,7";"10010000";"13350000";"46993"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/40092/";"68,8";"10010000";"13340000";"40092"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54727/";"43,9";"10020000";"11790000";"54727"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54729/";"44,2";"10020000";"11790000";"54729"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54732/";"44,2";"10020000";"11790000";"54732"
"Республики 205";"https://tyumen.brusnika.ru/flat/54798/";"69,7";"10020000";"12530000";"54798"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48865/";"83,2";"10030000";"12540000";"48865"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54731/";"44,1";"10030000";"11800000";"54731"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56927/";"79,9";"10030000";"12540000";"56927"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62454/";"46,8";"10040000";"11810000";"62454"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52277/";"87,5";"10050000";"12560000";"52277"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56940/";"84,1";"10050000";"12560000";"56940"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51787/";"79,2";"10060000";"12580000";"51787"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/54249/";"82,2";"10060000";"12570000";"54249"
"Зарека";"https://tyumen.brusnika.ru/flat/67312/";"68,5";"10060000";"11060000";"67312"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56850/";"54,3";"10060000";"12570000";"56850"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46563/";"79,2";"10090000";"12610000";"46563"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49030/";"83,2";"10090000";"12610000";"49030"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51782/";"87,8";"10100000";"12620000";"51782"
"Республики 205";"https://tyumen.brusnika.ru/flat/54971/";"64,6";"10100000";"12630000";"54971"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/56296/";"47,2";"10110000";"11890000";"56296"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62028/";"43,9";"10120000";"11910000";"62028"
"Зарека";"https://tyumen.brusnika.ru/flat/67318/";"68,5";"10120000";"11120000";"67318"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62457/";"44,3";"10130000";"11920000";"62457"
"Республики 205";"https://tyumen.brusnika.ru/flat/70036/";"73,2";"10140000";"12670000";"70036"
"Дом у озера";"https://tyumen.brusnika.ru/flat/66310/";"54,1";"10150000";"11940000";"66310"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56320/";"79,1";"10170000";"12710000";"56320"
"Зарека";"https://tyumen.brusnika.ru/flat/67154/";"72,5";"10170000";"11180000";"67154"
"Зарека";"https://tyumen.brusnika.ru/flat/67321/";"72,5";"10170000";"11180000";"67321"
"Зарека";"https://tyumen.brusnika.ru/flat/67260/";"71,9";"10170000";"11180000";"67260"
"Зарека";"https://tyumen.brusnika.ru/flat/67156/";"80,7";"10170000";"11180000";"67156"
"Республики 205";"https://tyumen.brusnika.ru/flat/54926/";"71,3";"10180000";"12730000";"54926"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46619/";"83,4";"10190000";"12740000";"46619"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51756/";"85,5";"10200000";"12750000";"51756"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52265/";"85,5";"10200000";"12750000";"52265"
"Республики 205";"https://tyumen.brusnika.ru/flat/54931/";"64,6";"10200000";"12750000";"54931"
"Республики 205";"https://tyumen.brusnika.ru/flat/70032/";"64,6";"10200000";"12750000";"70032"
"Республики 205";"https://tyumen.brusnika.ru/flat/70038/";"66,8";"10200000";"12750000";"70038"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52279/";"85,5";"10210000";"12760000";"52279"
"Зарека";"https://tyumen.brusnika.ru/flat/67200/";"61,5";"10210000";"11220000";"67200"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52273/";"86,2";"10220000";"12780000";"52273"
"Республики 205";"https://tyumen.brusnika.ru/flat/54966/";"64,8";"10220000";"12780000";"54966"
"Республики 205";"https://tyumen.brusnika.ru/flat/58401/";"64,8";"10220000";"12780000";"58401"
"Зарека";"https://tyumen.brusnika.ru/flat/67256/";"71,9";"10220000";"11230000";"67256"
"Зарека";"https://tyumen.brusnika.ru/flat/67310/";"71,9";"10220000";"11230000";"67310"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52282/";"85,7";"10220000";"12780000";"52282"
"Зарека";"https://tyumen.brusnika.ru/flat/59867/";"68,3";"10220000";"12770000";"59867"
"Зарека";"https://tyumen.brusnika.ru/flat/51610/";"68,3";"10220000";"12770000";"51610"
"Зарека";"https://tyumen.brusnika.ru/flat/67255/";"72,5";"10230000";"11240000";"67255"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/54248/";"79,6";"10240000";"12800000";"54248"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/56139/";"79,3";"10240000";"12800000";"56139"
"Дом у озера";"https://tyumen.brusnika.ru/flat/60159/";"54,1";"10250000";"12060000";"60159"
"Дом у озера";"https://tyumen.brusnika.ru/flat/65596/";"54,1";"10250000";"12060000";"65596"
"Зарека";"https://tyumen.brusnika.ru/flat/67595/";"69,6";"10250000";"12810000";"67595"
"Республики 205";"https://tyumen.brusnika.ru/flat/59917/";"63,4";"10260000";"12820000";"59917"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52284/";"86,2";"10260000";"12830000";"52284"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51747/";"86,2";"10260000";"12830000";"51747"
"Зарека";"https://tyumen.brusnika.ru/flat/67292/";"80,7";"10260000";"11280000";"67292"
"Зарека";"https://tyumen.brusnika.ru/flat/67054/";"71,9";"10260000";"11280000";"67054"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/62442/";"44,3";"10270000";"13210000";"62442"
"Зарека";"https://tyumen.brusnika.ru/flat/67175/";"80,7";"10270000";"11290000";"67175"
"Зарека";"https://tyumen.brusnika.ru/flat/67030/";"80,7";"10270000";"11290000";"67030"
"Республики 205";"https://tyumen.brusnika.ru/flat/54788/";"71,3";"10280000";"12850000";"54788"
"Республики 205";"https://tyumen.brusnika.ru/flat/43673/";"78,2";"10290000";"14120000";"43673"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48602/";"82,6";"10300000";"12880000";"48602"
"Республики 205";"https://tyumen.brusnika.ru/flat/59896/";"64,8";"10300000";"12880000";"59896"
"Республики 205";"https://tyumen.brusnika.ru/flat/59898/";"63,5";"10300000";"12880000";"59898"
"Республики 205";"https://tyumen.brusnika.ru/flat/59905/";"64,6";"10300000";"12870000";"59905"
"Республики 205";"https://tyumen.brusnika.ru/flat/58399/";"64,6";"10300000";"12870000";"58399"
"Республики 205";"https://tyumen.brusnika.ru/flat/70033/";"70,5";"10300000";"12880000";"70033"
"Республики 205";"https://tyumen.brusnika.ru/flat/70040/";"64,8";"10300000";"12880000";"70040"
"Речной порт";"https://tyumen.brusnika.ru/flat/47001/";"37,9";"10310000";"13750000";"47001"
"Речной порт";"https://tyumen.brusnika.ru/flat/70322/";"42,4";"10310000";"13740000";"70322"
"Республики 205";"https://tyumen.brusnika.ru/flat/43769/";"78,5";"10320000";"14160000";"43769"
"Республики 205";"https://tyumen.brusnika.ru/flat/43805/";"78,6";"10320000";"14160000";"43805"
"Зарека";"https://tyumen.brusnika.ru/flat/67178/";"72,5";"10330000";"11350000";"67178"
"Зарека";"https://tyumen.brusnika.ru/flat/67236/";"80,7";"10330000";"11350000";"67236"
"Зарека";"https://tyumen.brusnika.ru/flat/67050/";"80,7";"10330000";"11350000";"67050"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/51784/";"71,2";"10360000";"12950000";"51784"
"Зарека";"https://tyumen.brusnika.ru/flat/67244/";"75,7";"10360000";"11380000";"67244"
"Кварталы «На Минской»";"https://tyumen.brusnika.ru/flat/54696/";"51,5";"10360000";"12190000";"54696"
"Республики 205";"https://tyumen.brusnika.ru/flat/66674/";"71,3";"10380000";"12980000";"66674"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49056/";"84,8";"10380000";"12980000";"49056"
"Зарека";"https://tyumen.brusnika.ru/flat/67336/";"65";"10380000";"11410000";"67336"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49052/";"84,7";"10380000";"12980000";"49052"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49050/";"84,7";"10380000";"12970000";"49050"
"Республики 205";"https://tyumen.brusnika.ru/flat/59919/";"70,5";"10400000";"13000000";"59919"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49059/";"84,8";"10400000";"13000000";"49059"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/49057/";"84,7";"10400000";"13000000";"49057"
"Республики 205";"https://tyumen.brusnika.ru/flat/66677/";"78,9";"10410000";"13010000";"66677"
"Республики 205";"https://tyumen.brusnika.ru/flat/66679/";"78,9";"10410000";"13010000";"66679"
"Зарека";"https://tyumen.brusnika.ru/flat/67257/";"75,8";"10410000";"11440000";"67257"
"Республики 205";"https://tyumen.brusnika.ru/flat/66675/";"79,2";"10420000";"13020000";"66675"
"Республики 205";"https://tyumen.brusnika.ru/flat/56090/";"79,2";"10420000";"13020000";"56090"
"Республики 205";"https://tyumen.brusnika.ru/flat/54958/";"79,2";"10420000";"13020000";"54958"
"Зарека";"https://tyumen.brusnika.ru/flat/52915/";"69,5";"10420000";"13020000";"52915"
"Зарека";"https://tyumen.brusnika.ru/flat/67112/";"65";"10430000";"11460000";"67112"
"Республики 205";"https://tyumen.brusnika.ru/flat/48167/";"84,7";"10450000";"13060000";"48167"
"Зарека";"https://tyumen.brusnika.ru/flat/58304/";"63,5";"10460000";"12310000";"58304"
"Республики 205";"https://tyumen.brusnika.ru/flat/56371/";"78,2";"10460000";"13080000";"56371"
"Зарека";"https://tyumen.brusnika.ru/flat/67917/";"64,2";"10480000";"12330000";"67917"
"Зарека";"https://tyumen.brusnika.ru/flat/57179/";"64,2";"10480000";"12330000";"57179"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48920/";"84,2";"10480000";"13100000";"48920"
"Республики 205";"https://tyumen.brusnika.ru/flat/48154/";"84,7";"10490000";"13110000";"48154"
"Республики 205";"https://tyumen.brusnika.ru/flat/48155/";"84,7";"10490000";"13110000";"48155"
"Зарека";"https://tyumen.brusnika.ru/flat/64950/";"47,4";"10490000";"13110000";"64950"
"Дом у озера";"https://tyumen.brusnika.ru/flat/65601/";"62,5";"10490000";"12340000";"65601"
"Зарека";"https://tyumen.brusnika.ru/flat/57168/";"70,8";"10490000";"12340000";"57168"
"Республики 205";"https://tyumen.brusnika.ru/flat/48208/";"84,7";"10490000";"13110000";"48208"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48604/";"82,6";"10500000";"13130000";"48604"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48605/";"80,4";"10500000";"13130000";"48605"
"Республики 205";"https://tyumen.brusnika.ru/flat/70041/";"66,4";"10510000";"13140000";"70041"
"Зарека";"https://tyumen.brusnika.ru/flat/67239/";"77,3";"10520000";"11560000";"67239"
"Республики 205";"https://tyumen.brusnika.ru/flat/56441/";"82,2";"10520000";"13150000";"56441"
"Зарека";"https://tyumen.brusnika.ru/flat/52914/";"73,9";"10520000";"13150000";"52914"
"Республики 205";"https://tyumen.brusnika.ru/flat/70037/";"72,1";"10540000";"13180000";"70037"
"Зарека";"https://tyumen.brusnika.ru/flat/66342/";"70,7";"10540000";"12400000";"66342"
"Республики 205";"https://tyumen.brusnika.ru/flat/66683/";"78,9";"10580000";"13230000";"66683"
"Зарека";"https://tyumen.brusnika.ru/flat/67226/";"65,2";"10580000";"11630000";"67226"
"Республики 205";"https://tyumen.brusnika.ru/flat/54783/";"78,9";"10580000";"13230000";"54783"
"Зарека";"https://tyumen.brusnika.ru/flat/64951/";"47,2";"10610000";"13260000";"64951"
"Зарека";"https://tyumen.brusnika.ru/flat/64952/";"47,2";"10610000";"13260000";"64952"
"Республики 205";"https://tyumen.brusnika.ru/flat/54782/";"79,2";"10610000";"13260000";"54782"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46564/";"94,1";"10610000";"13260000";"46564"
"Республики 205";"https://tyumen.brusnika.ru/flat/54940/";"72,1";"10620000";"13280000";"54940"
"Республики 205";"https://tyumen.brusnika.ru/flat/58407/";"72,1";"10620000";"13280000";"58407"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/52271/";"79,2";"10660000";"13320000";"52271"
"Зарека";"https://tyumen.brusnika.ru/flat/67095/";"77,3";"10670000";"11720000";"67095"
"Дом у озера";"https://tyumen.brusnika.ru/flat/44353/";"63,1";"10680000";"13350000";"44353"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/48603/";"80,4";"10700000";"13380000";"48603"
"Республики 205";"https://tyumen.brusnika.ru/flat/58404/";"71";"10700000";"13380000";"58404"
"Республики 205";"https://tyumen.brusnika.ru/flat/54927/";"71";"10700000";"13380000";"54927"
"Республики 205";"https://tyumen.brusnika.ru/flat/56080/";"78,9";"";"10700000";"56080"
"Республики 205";"https://tyumen.brusnika.ru/flat/56984/";"72,1";"10730000";"13410000";"56984"
"Зарека";"https://tyumen.brusnika.ru/flat/67116/";"66,5";"10730000";"11790000";"67116"
"Республики 205";"https://tyumen.brusnika.ru/flat/70042/";"72,1";"10730000";"13410000";"70042"
"Дом у озера";"https://tyumen.brusnika.ru/flat/45008/";"63,1";"10740000";"13420000";"45008"
"Зарека";"https://tyumen.brusnika.ru/flat/52917/";"73,6";"10740000";"13430000";"52917"
"Республики 205";"https://tyumen.brusnika.ru/flat/43849/";"84,7";"10750000";"14740000";"43849"
"Речной порт";"https://tyumen.brusnika.ru/flat/54107/";"56,9";"10770000";"13460000";"54107"
"Республики 205";"https://tyumen.brusnika.ru/flat/56990/";"84,5";"10780000";"13470000";"56990"
"Дом у озера";"https://tyumen.brusnika.ru/flat/47932/";"63,1";"10780000";"13470000";"47932"
"Республики 205";"https://tyumen.brusnika.ru/flat/67345/";"80,1";"10780000";"13470000";"67345"
"Республики 205";"https://tyumen.brusnika.ru/flat/56989/";"80,1";"10780000";"13470000";"56989"
"Республики 205";"https://tyumen.brusnika.ru/flat/66671/";"79,2";"10790000";"13490000";"66671"
"Республики 205";"https://tyumen.brusnika.ru/flat/56976/";"79,2";"10790000";"13490000";"56976"
"Дом у озера";"https://tyumen.brusnika.ru/flat/59353/";"63,1";"10790000";"13490000";"59353"
"Дом у озера";"https://tyumen.brusnika.ru/flat/63922/";"54,6";"10800000";"12710000";"63922"
"Зарека";"https://tyumen.brusnika.ru/flat/67209/";"73,6";"10800000";"11870000";"67209"
"Зарека";"https://tyumen.brusnika.ru/flat/67133/";"65,9";"10810000";"11880000";"67133"
"Республики 205";"https://tyumen.brusnika.ru/flat/48240/";"87,9";"10810000";"13510000";"48240"
"Республики 205";"https://tyumen.brusnika.ru/flat/54979/";"71";"10820000";"13520000";"54979"
"Октябрьский на Туре";"https://tyumen.brusnika.ru/flat/46650/";"79,7";"10820000";"13530000";"46650"
"Республики 205";"https://tyumen.brusnika.ru/flat/70030/";"71";"10820000";"13520000";"70030"
"Зарека";"https://tyumen.brusnika.ru/flat/67107/";"86";"10830000";"11900000";"67107"
